BMQDV href,biGQs,reviewer_name,biGQs 3,biGQs 4,evwcZ,BMQDV href 2,review_title,review,biGQs 5,biGQs 6,NhWcC src,mrcAu src,NhWcC src 2,NhWcC src 3,NhWcC src 4,NhWcC src 5
https://www.tripadvisor.com/ClientLink?value=ZVZWXy9Qcm9maWxlL2x1a2VCOTk3N19mWFQ%3D,Couples,Luke B,Apr 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1055984262-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Great experience,"Miodrag was great from start to finish. Made the trip very enjoyable with lots of stories. Very enthusiastic. Made crossing the border a breeze. Overall a very fun day out with great food, company, history & architecture ????",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/e8/9f/0e/caption.jpg?w=200&h=-1&s=1,,,
https://www.tripadvisor.com/ClientLink?value=dllNXy9Qcm9maWxlL1RvbTEyMzRDX1NncA%3D%3D,Couples,United States,Apr 2026 • 5 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1055845711-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Excellent day and two beautiful sites,"What a great trip.  Our tour guide Bruno was so experienced and knew how to navigate our trip so we had the most time at the sites.  We got through border patrol so quickly and made it to the Waterfalls before anyone.  We had the place to ourselves.  Then on to Mostar.   It was very pretty and Bruno’s recommendation for lunch was great.  While in the van he educated us on the region, the history and the current events.  What a great trip.",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,https://static.tacdn.com/assets/s/6cf43dc4.svg,,,,
https://www.tripadvisor.com/ClientLink?value=N1hhXy9Qcm9maWxlL0FxdWFfYmx1ZTIyX3pPSw%3D%3D,Families,Yueny P,Feb 2026 • 2 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1051212879-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Great tour - definitely recommend,"Edi was our guide and he was fantastic: incredibly knowledgeable, cheerful, and always made an effort to include everyone in the group. We first visited the beautiful Kravice Waterfalls, which were absolutely stunning and well worth the trip.We then crossed into Bosnia and Herzegovina, where Edi took us to a local restaurant for lunch. The meal was really good value, with soup, salad and a main course included. Afterwards, we had free time to explore Mostar at our own pace – such a beautiful and charming city to wander around.Edi truly made the day special. He was warm, engaging and thoughtful throughout, and even surprised us with a small gift at the end of the tour. A brilliant experience from start to finish!",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/8d/42/de/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/8d/42/dd/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/8d/42/dc/caption.jpg?w=200&h=-1&s=1,
https://www.tripadvisor.com/ClientLink?value=Z3pxXy9Qcm9maWxlL3NoZWxsZXlzbGJfSzhy,Top 1% reviewer,Shelley B,May 2026 • 14 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060992395-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Brilliant tour,"Absolutely amazing day. From the time we were picked up to the time that we were dropped off our tour leader Miodrag was super helpful, friendly and extremely informative.  He gave us historical information  on Croatia as we were leaving Dubrovnik and the same for Bosnia as we were entering. He also pointed out points of interest along the way. Miodrag went above the call of duty and arranged for an item that I had left in a cafe in Mostar to be picked up and dropped back at our hotel. Thank you!!The waterfalls were breathtaking and so glad that we were there early to beat the crowds.Mostar was a charming town with plenty to see and do. The perfect place for lunch.",Read more,Couples,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/49/e2/c6/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/49/e2/c5/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/49/e2/c4/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/49/e2/c3/caption.jpg?w=100&h=-1&s=1
https://www.tripadvisor.com/ClientLink?value=NHF6Xy9Qcm9maWxlL0IxNTgzVFhwYXRyaWNraF9uUEI%3D,Top 1% reviewer,United States,May 2026 • 33 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060873733-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Excellent trip to Kravice Waterfalls and Mostar,"Matteo was a wonderful guide along the way to  Kravice and Mostar. He was friendly, knowledgeable, and a great guide. The waterfalls were beautiful and the of Mostar is a must see. Matteo shared a wealth of information along the way and entertained a wide variety of questions. Conversation was easy. There were six people on our trip, which is the perfect size for a little adventure like this. Highly recommend!",Read more,Couples,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,https://static.tacdn.com/assets/s/6cf43dc4.svg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/47/52/60/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/47/52/5f/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/47/52/5e/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/47/52/5d/caption.jpg?w=100&h=-1&s=1
https://www.tripadvisor.com/ClientLink?value=QkNMXy9Qcm9maWxlLzI5Mm5hdGFsaWVtX0xTWg%3D%3D,Families,Natalie S,May 2026 • 4 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1059450170-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Excellent tour!,"We had a wonderful trip with our amazing tour guide, Disco! The drive was beautiful. The waterfalls were worth the visit! Mostar was such a cool city, very friendly people, good food and shopping. Disco made our experience 5 stars! He was full of history knowledge, very funny and easy going! Highly recommend!",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/b8/default-avatar-2020-22.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/2a/82/e4/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/2a/82/e3/caption.jpg?w=200&h=-1&s=1,,
https://www.tripadvisor.com/ClientLink?value=SjVBXy9Qcm9maWxlLzc3ZXZhbmNfdkpq,Top 1% reviewer,Ireland,May 2026 • 23 contributions,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1059304266-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Fantastic Day,"We had an amazing day trip from Dubrovnik. Our guide, Bruno was great! He navigated a quiet border crossing to save time and got us to Kravice Waterfalls so early that we literally had the place to ourselves. When we were leaving it was starting to get busy.We spent 3 hours in Mostar, which was the perfect amount of time to explore. Throughout the day, Bruno shared some really great insights into the history of both Croatia and Bosnia. He’s a lovely guy and made the trip feel personal and easy.Highly recommend this tour.",Read more,Couples,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/1b/39/2e/caption.jpg?w=100&h=-1&s=1,https://static.tacdn.com/assets/s/55f12fae.svg,,,,
https://www.tripadvisor.com/ClientLink?value=UER3Xy9Qcm9maWxlL1RyYXZlbDI1MDkwMjMwNTgxXzRteA%3D%3D,Couples,Travel25090230581,Apr 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1057684876-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Efficient and well run tour.,Very efficient and well run tour. Disco the guide was very informative and had a good sense of humour. We crossed the border with ease  due to the small group of around 8 and had a lovely time at Mostar and the waterfalls. We left out accommodation around 7AM and were back around 4:30PM.,Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,,
https://www.tripadvisor.com/ClientLink?value=aFhPXy9Qcm9maWxlLzgyNmx1a2VlX0pKNQ%3D%3D,Couples,LUKE E,May 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060991668-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Great trip great guide/host,From the start to the end Miodrag was great. Arriving early friendly and very informative on the long drive with details of the history. Gave good tips and hints at each venue and even went above and beyond getting a mislaid item picked up and returned to us the next day. Can’t recommend enough supper guide and host,Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/24/default-avatar-2020-60.jpg?w=100&h=-1&s=1,,,,,
https://www.tripadvisor.com/ClientLink?value=cFhlXy9Qcm9maWxlL0s5ODUzT1duaWNob2xhc2ZfbW1Z,Couples,Nicholas F,May 2026 • 1 contribution,1,5 of 5 bubbles,https://www.tripadvisor.com/ShowUserReviews-g295371-d12576228-r1060447999-Mostar_and_Kravice_Waterfalls_Semi_Private_Tour_from_Dubrovnik-Dubrovnik_Dubro.html,Can’t recommend enough!,"We loved our day trip from Dubrovnik to Bosnia. Miodrag was an incredible guide and was very knowledgeable on the entire Balkan region, presenting a good balance of history, culture, and personal anecdotes. He also timed the tour perfectly so that we had very little wait at both border crossings and had just enough time at Kravice Falls and in Mostar. This was a great value!",Read more,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/3f/98/08/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/3f/98/07/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/3f/98/03/caption.jpg?w=200&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/33/3f/98/01/caption.jpg?w=200&h=-1&s=1
